network,station,lat,lon,dist,tP,tS
II,MBAR,-0.6019,30.7382,75.52124195725598,704.6001450774079,1285.8768579408838
II,MSEY,-4.6737,55.4792,57.95663554183905,592.4727850056079,1073.4694732447806
II,MSVF,-17.7448,178.0528,86.61191670802303,763.5742015894776,1400.9565766852952
II,OBN,55.1146,36.5674,52.02217960970093,549.518819214016,993.8355632713441
II,PALK,7.2728,80.7022,31.82956698132586,384.8581776244102,696.2270687969623
II,RAYN,23.5225,45.5032,51.44681687352427,545.2180483516349,985.9102140530003
II,TAU,-42.9099,147.3204,84.17142091121698,751.4162106855251,1376.9829464898603
II,WRAB,-19.9336,134.36,58.97488676845625,599.5859056076382,1086.743692957887
IU,ADK,51.8823,-176.6842,60.142261773790324,607.6481773049302,1101.8190504491758
IU,ANTO,39.8681,32.79356,56.728410368992634,583.7928702464635,1057.305888817551
IU,BILL,68.0653,166.4531,51.47504948205537,545.4296399247575,986.2999416961048
IU,COLA,64.873599,-147.8616,69.55072758860246,669.0130997759171,1217.6804700435368
IU,CTAO,-20.0882,146.2545,65.59086710111305,643.9699753623995,1170.1497829603577
IU,DAV,7.0697,125.5791,31.66864475040515,383.4453606147651,693.720269843316
IU,FUNA,-8.5259,179.1966,82.43581250292418,742.4837553218359,1359.4601385568653
IU,FURI,8.8952,38.6798,63.81438389114121,632.3640314917985,1148.2404505439497
IU,GNI,40.148,44.741,47.71111253011482,516.7135234847767,933.5987589124093
IU,GRFO,49.6909,11.2203,68.1819587118847,660.4858998723781,1201.455954781993
IU,GUMO,13.5893,144.8684,41.812884957068185,469.6813528037348,848.086046163389
IU,HNR,-9.4387,159.9475,67.56405603917779,656.591560350485,1194.060224978658
IU,JOHN,16.7329,-169.5292,79.03361709397298,724.2972250510251,1323.9961502081476
IU,KBS,78.9154,11.9385,59.918820710615805,606.1128809616697,1098.94510835038
IU,KEV,69.7565,27.0035,56.42812309933827,581.6541166770685,1053.3286350900896
IU,KIEV,50.7012,29.2242,56.86555805815042,584.767478046524,1059.1191831099989
IU,KIP,21.42,-158.0112,86.04783441636256,760.8061326820447,1395.4852982862747
IU,KMBO,-1.1271,37.2525,70.3407074844982,673.8724099250549,1226.9445286494617
IU,KNTN,-2.7744,-171.7186,87.05053392950819,765.7088570561048,1405.1817278468318
IU,KONO,59.6491,9.5982,65.43455802961151,642.9580562261376,1168.2365397238623
IU,LSZ,-15.2779,28.1882,85.67902153903252,758.9826932081866,1391.885420410022
IU,MBWA,-21.159,119.7313,54.46368549376224,567.5004037612131,1027.065427806214
IU,MIDW,28.2154,-177.3697,67.37840374264789,655.4159619593607,1191.8296883974642
IU,NWAO,-32.9277,117.239,65.25250847489458,641.7771602764908,1166.0046087002347
IU,PAB,39.5446,-4.3499,82.73818114612709,744.0568239659581,1362.5411059609837
IU,PET,53.0233,158.6499,45.14362098010938,496.54253882084754,896.8027659028729
IU,PMG,-9.4047,147.1597,58.22368976493199,594.3457531939241,1076.9615533266287
IU,POHA,19.7573,-155.5326,88.89738434054253,774.5250726912119,1422.6822370021946
IU,SFJD,66.9961,-50.62076,80.04038221419341,729.7711827333416,1334.642114128869
IU,TARA,1.3549,172.9229,71.8226251600781,682.8643431559755,1244.1277741380102
IU,TIXI,71.6341,128.8667,42.89168860090495,478.46580774608594,863.9834642196178
IU,WAKE,19.2834,166.652,57.70857125304925,590.728371816291,1070.2187515193584
IU,YAK,62.031,129.6805,35.379399352339924,415.69638782567165,751.1135634420176
IU,YSS,46.9587,142.7604,34.02872845751296,404.0406090557259,730.329328649808
