station,network,lat,lon,dist,tP,tS,snr
YKW1,CN,62.4822,-114.4843,81.70897196802161,738.6734701520508,1352.0065135830066,49.41577281640304
YKW2,CN,62.4337,-114.6038,81.72058896491022,738.7346960227264,1352.126169380197,
YKW3,CN,62.5616,-114.6099,81.61090359495425,738.1561880762268,1350.9957083143643,48.412066484853284
SUMG,GE,72.5763,-38.4539,73.16873510015242,690.8920756199766,1259.5101483248145,118.5954044958065
SUW,GE,54.012501,23.180799,59.847371040127385,605.6211433929942,1098.0249464790759,18.29889330595826
TIRR,GE,44.458099,28.4128,58.72090008066904,597.8186185133943,1083.4433322664563,22.012988463284827
UGM,GE,-7.9125,110.5231,39.50640091903635,450.6352235861197,813.7334501744925,23.305680046422474
VSU,GE,58.462002,26.734699,57.15478573195971,586.8181159114182,1062.9363334890763,74.14151494516587
ABKT,II,37.9304,58.1189,37.59735331704244,434.6054723213423,784.9427365701371,16.64741867182487
ABPO,II,-19.018,47.229,73.54163100388197,693.0922101480418,1263.733698256614,540.3900524129953
ALE,II,82.5033,-62.35,66.28153114679334,648.4199687875175,1178.569892914217,92.35568582548966
ARU,II,56.4302,58.5625,40.072109132514335,455.33913520714276,822.2042673232546,19.89176051820979
BFO,II,48.3301,8.3296,70.466288490583,674.6407423672792,1228.4105968151575,187.50787617415833
BORG,II,64.7474,-21.3268,75.07784601592479,702.047928670664,1280.9585670208426,34.31761208860863
BRVK,II,53.0581,70.2828,32.5291547115039,390.98628912093085,707.1072296099147,8.324836080970456
COCO,II,-12.1901,96.8349,43.64808596969224,484.5772133358526,875.0623244776673,34.415336256079954
DGAR,II,-7.4121,72.4525,48.50500482022511,522.8558315616447,944.8392797149661,104.4852113673421
ERM,II,42.015,143.1572,33.455617959743044,399.0646099796832,721.4713592069135,2.7258528566518545
ESK,II,55.3167,-3.205,73.49302298350176,692.8059956003327,1263.1840675459853,114.04415856684203
KAPI,II,-5.0142,119.7517,39.25540342186849,448.54116021629295,809.9658073348518,11.122209556585926
KDAK,II,57.7828,-152.5835,71.03092986724567,678.0806117434565,1234.9799733849777,51.7159302517209
KIV,II,43.9553,42.6863,48.75078739115443,524.748202457059,948.3056150029415,12.496210623409157
LVZ,II,67.8979,34.6514,53.55221830232194,560.8385380864079,1014.7353524779259,19.013956293561044
MBAR,II,-0.6019,30.7382,75.52124195725598,704.6001450774079,1285.8768579408838,138.3598613823974
OBN,II,55.1146,36.5674,52.02217960970093,549.518819214016,993.8355632713441,62.38679428229017
TAU,II,-42.9099,147.3204,84.17142091121698,751.4162106855251,1376.9829464898603,78.67668346230857
WRAB,II,-19.9336,134.36,58.97488676845625,599.5859056076382,1086.743692957887,15.238872213218466
ADK,IU,51.8823,-176.6842,60.142261773790324,607.6481773049302,1101.8190504491758,19.024235393691193
BILL,IU,68.0653,166.4531,51.47504948205537,545.4296399247575,986.2999416961048,17.515058327428275
COLA,IU,64.873599,-147.8616,69.55072758860246,669.0130997759171,1217.6804700435368,162.26215901954416
CTAO,IU,-20.0882,146.2545,65.59086710111305,643.9699753623995,1170.1497829603577,47.472883491673166
DAV,IU,7.0697,125.5791,31.66864475040515,383.4453606147651,693.720269843316,21.578603008694202
FUNA,IU,-8.5259,179.1966,82.43581250292418,742.4837553218359,1359.4601385568653,46.74493550900013
FURI,IU,8.8952,38.6798,63.81438389114121,632.3640314917985,1148.2404505439497,60.42653364250485
GNI,IU,40.148,44.741,47.71111253011482,516.7135234847767,933.5987589124093,18.044792325292367
GRFO,IU,49.6909,11.2203,68.1819587118847,660.4858998723781,1201.455954781993,94.45907169808372
GUMO,IU,13.5893,144.8684,41.812884957068185,469.6813528037348,848.086046163389,25.325684281277688
JOHN,IU,16.7329,-169.5292,79.03361709397298,724.2972250510251,1323.9961502081476,30.167124106797253
KBS,IU,78.9154,11.9385,59.918820710615805,606.1128809616697,1098.94510835038,17.94996451310762
KEV,IU,69.7565,27.0035,56.42812309933827,581.6541166770685,1053.3286350900896,44.83319474968587
KIP,IU,21.42,-158.0112,86.04783441636256,760.8061326820447,1395.4852982862747,41.883783708462516
KMBO,IU,-1.1271,37.2525,70.3407074844982,673.8724099250549,1226.9445286494617,122.08148479225089
KNTN,IU,-2.7744,-171.7186,87.05053392950819,765.7088570561048,1405.1817278468318,62.19549667475442
KONO,IU,59.6491,9.5982,65.43455802961151,642.9580562261376,1168.2365397238623,52.66870143959664
LSZ,IU,-15.2779,28.1882,85.67902153903252,758.9826932081866,1391.885420410022,415.18140875672316
MIDW,IU,28.2154,-177.3697,67.37840374264789,655.4159619593607,1191.8296883974642,33.9531882330986
PAB,IU,39.5446,-4.3499,82.73818114612709,744.0568239659581,1362.5411059609837,40.852845369670334
PET,IU,53.0233,158.6499,45.14362098010938,496.54253882084754,896.8027659028729,3.4935766746479486
PMG,IU,-9.4047,147.1597,58.22368976493199,594.3457531939241,1076.9615533266287,26.899153452864528
POHA,IU,19.7573,-155.5326,88.89738434054253,774.5250726912119,1422.6822370021946,39.74570124978861
SFJD,IU,66.9961,-50.62076,80.04038221419341,729.7711827333416,1334.642114128869,57.824087089158155
TARA,IU,1.3549,172.9229,71.8226251600781,682.8643431559755,1244.1277741380102,105.46812108543463
TIXI,IU,71.6341,128.8667,42.89168860090495,478.46580774608594,863.9834642196178,15.973970450388443
WAKE,IU,19.2834,166.652,57.70857125304925,590.728371816291,1070.2187515193584,5.5958900136511724
YAK,IU,62.031,129.6805,35.379399352339924,415.69638782567165,751.1135634420176,8.85808728874803
YSS,IU,46.9587,142.7604,34.02872845751296,404.0406090557259,730.329328649808,1.3528071867839184
