x,y,phi,u_div,v_div
-1.25,-0.25,-0.15391121944671796,0.23854266564181537,-0.3443933065624205
-1.0,-0.25,-0.2127509107349708,0.22043014070797,-0.18791340031726195
-0.75,-0.25,-0.26412628980070296,0.1815603772304863,0.02869891363500604
-0.5,-0.25,-0.30353109935021394,0.12724307025726334,0.27373389524782454
-0.25,-0.25,-0.32774782492933463,0.06265144166284631,0.5201326932762326
0.0,-0.25,-0.3348568201816371,-0.006948579090211293,0.7445191052890449
0.25,-0.25,-0.324273535384229,-0.07615333894925502,0.9269422117151542
0.5,-0.25,-0.2967801507070096,-0.13946795897599074,1.0509107884159299
0.75,-0.25,-0.2545395558962336,-0.19135870501851643,1.1034200602124695
1.0,-0.25,-0.20110079819775137,-0.22622091811908296,1.074724842627897
1.25,-0.25,-0.14142909683669214,-0.23815043774156908,0.957613500099682
1.5,-0.25,-0.08202557932696683,-0.22036433850942902,0.7458751131474863
1.75,-0.25,-0.031246927581977623,-0.16405115865393366,0.431511369450837
2.0,-0.25,0.0,-0.12498771032791049,-0.0
-2.0,0.0,0.0,-0.1654065422789448,-0.0
-1.75,0.0,0.0413516355697362,-0.028495534328504026,-0.29366428328566996
-1.5,0.0,0.014247767164252013,0.1930839754633912,-0.40914228279576337
-1.25,0.0,-0.0551903521619594,0.3240171981119105,-0.399343614175849
-1.0,0.0,-0.14776083189170322,0.3867572294237316,-0.3018613022064395
-0.75,0.0,-0.24856896687382518,0.395785040569034,-0.14585679858985312
-0.5,0.0,-0.34565335217622023,0.36156151245023926,0.04420322679124333
-0.25,0.0,-0.4293497230989448,0.29282785782938214,0.2467089217885884
0.0,0.0,-0.4920672810909113,0.1978334514398088,0.4421659181010684
0.25,0.0,-0.5282664488188492,0.08486967174923621,0.6130336372359748
0.5,0.0,-0.5345021169655294,-0.03764114486696091,0.7437980823972261
0.75,0.0,-0.5094458763853688,-0.16133850432265762,0.8210236149940487
1.0,0.0,-0.4538328648042006,-0.27829110383893174,0.8331583319405953
1.25,0.0,-0.3703003244659029,-0.3814698321090001,0.7698465322789849
1.5,0.0,-0.26309794874970055,-0.46528786300013747,0.6204191080011998
1.75,0.0,-0.13765639296583415,-0.5261958974994011,0.3710743764565956
2.0,0.0,0.0,-0.5506255718633366,-0.0
-2.0,0.25,0.0,-0.43153291473554184,-0.0
-1.75,0.25,0.10788322868388546,-0.22218312696763715,-0.207503600699518
-1.5,0.25,0.11109156348381857,0.1242452820853578,-0.3206063935045262
-1.25,0.25,0.04576058764120656,0.34582364623113926,-0.36125551380884546
-1.0,0.25,-0.061820259631751064,0.4739169562939659,-0.3450065205348251
-0.75,0.25,-0.1911978905057764,0.527624906228169,-0.28458105723083293
-0.5,0.25,-0.3256327127458356,0.5198087906357048,-0.19166938475416023
-0.25,0.25,-0.4511022858236288,0.4606141329726714,-0.07772504749905829
0.0,0.25,-0.5559397792321713,0.35937613635717514,0.045790239177014525
0.25,0.25,-0.6307903540022164,0.22547882534690267,0.16743834576003835
0.5,0.25,-0.6686791919056226,0.0685220187820832,0.2759372760967489
0.75,0.25,-0.665051363393258,-0.10199845547514719,0.3602571257189724
1.0,0.25,-0.617679964168049,-0.2773980008341468,0.40954093117090884
1.25,0.25,-0.5263523629761846,-0.45088966168096456,0.4126712601685707
1.5,0.25,-0.39223513332756677,-0.6191364943318184,0.35721705868865705
1.75,0.25,-0.2167841158102754,-0.7844702666551335,0.2273411040494202
2.0,0.25,0.0,-0.8671364632411016,-0.0
-2.0,0.5,0.0,-0.5804137436779808,-0.0
-1.75,0.5,0.1451034359194952,-0.34910192783303023,-0.07430544548730159
-1.5,0.5,0.17455096391651512,0.03933206235406378,-0.1596095000841698
-1.25,0.5,0.12543740474246332,0.29961707108161156,-0.24068447760256179
-1.0,0.5,0.024742428375709346,0.463431686001744,-0.3071467602032814
-0.75,0.5,-0.1062784382584087,0.549122176349699,-0.3525929758224714
-0.5,0.5,-0.2498186597991401,0.5684175221820139,-0.3737752853042208
-0.25,0.5,-0.39048719934941567,0.530287481760557,-0.3699804881052704
0.0,0.5,-0.5149624006794186,0.44299684469890543,-0.34261452868043996
0.25,0.5,-0.6119856216988684,0.3150167086689706,-0.2949291602997297
0.5,0.5,-0.6724707550139039,0.15517763509197313,-0.2318307119918015
0.75,0.5,-0.689574439244855,-0.027734849248497673,-0.15973980359562145
1.0,0.5,-0.658603330389655,-0.22587696938933344,-0.08650862423233208
1.25,0.5,-0.5766359545501882,-0.4337937045912519,-0.021451334706059866
1.5,0.5,-0.4417064780940291,-0.650618019119288,0.024385536788634088
1.75,0.5,-0.25132694499054425,-0.8834129561880582,0.03745875740253218
2.0,0.5,0.0,-1.005307779962177,-0.0
-2.0,0.75,0.0,-0.580143805710145,-0.0
-1.75,0.75,0.14503595142753625,-0.38179262705180694,0.07082872302250845
-1.5,0.75,0.19089631352590347,-0.042133750029902384,0.030624767000796416
-1.25,0.75,0.16610282644248744,0.19828638611202767,-0.07081136237588403
-1.0,0.75,0.09175312046988963,0.3620084580740563,-0.1999138932852935
-0.75,0.75,-0.01490140259454069,0.46099638112722974,-0.33362525115024944
-0.5,0.75,-0.13874507009372522,0.5024212783529058,-0.45567684134039615
-0.25,0.75,-0.2661120417709936,0.4917748895964522,-0.5544710372324076
0.0,0.75,-0.3846325148919513,0.4344274641627158,-0.6220138237932613
0.25,0.75,-0.48332577385235154,0.3362626420355411,-0.6534367613182809
0.5,0.75,-0.5527638359097219,0.20371137548619145,-0.6467860468477484
0.75,0.75,-0.5851814615954473,0.04332363228432223,-0.6028693872786589
1.0,0.75,-0.574425652051883,-0.1391095319445852,-0.5250243701251445
1.25,0.75,-0.5156266956231547,-0.3399955006599984,-0.4187102891015644
1.5,0.75,-0.4044279017218838,-0.5602264022232264,-0.2908526593772791
1.75,0.75,-0.2355134945115415,-0.8088558034437676,-0.1489323843774139
2.0,0.75,0.0,-0.942053978046166,-0.0
-2.0,1.0,0.0,-0.4387562976329639,-0.0
-1.75,1.0,0.10968907440824098,-0.3184771608322338,0.18720262455911824
-1.5,1.0,0.1592385804161169,-0.1023080230443287,0.19591570849583428
-1.25,1.0,0.16084308593040533,0.06907841079552163,0.09952805404837825
-1.0,1.0,0.1246993750183561,0.2006177972273786,-0.05460574980508984
-0.75,1.0,0.06053418731671603,0.29335922829459626,-0.23426501849950562
-0.5,1.0,-0.021980239128942043,0.3475717360998558,-0.41592111410553
-0.25,1.0,-0.11325168073321186,0.36395049930769174,-0.5814459405689938
0.0,1.0,-0.2039554887827879,0.3440311206130322,-0.716650134850842
0.25,1.0,-0.28526724103972795,0.29024448561448346,-0.8107529530550146
0.5,1.0,-0.34907773159002964,0.2057450091315951,-0.8562362622964474
0.75,1.0,-0.3881397456055255,0.09402682747410629,-0.8487446359161955
1.0,1.0,-0.3960911453270828,-0.04171787121223891,-0.7867887593549994
1.25,1.0,-0.36728080999940604,-0.19962199384338652,-0.67101409406972
1.5,1.0,-0.2962801484053895,-0.3808401143951375,-0.5027287254625125
1.75,1.0,-0.1768607528018373,-0.592560296810779,-0.28128568335007154
2.0,1.0,0.0,-0.7074430112073492,-0.0
-2.0,1.25,0.0,-0.20573855659190857,-0.0
-1.75,1.25,0.05143463914797714,-0.18587691855597266,0.23576892143684197
-1.5,1.25,0.09293845927798633,-0.12980832054064234,0.2815886407207195
-1.25,1.25,0.11633879941829832,-0.05223507218889645,0.2159581712372606
-1.0,1.25,0.11905599537243455,0.028215385526172393,0.08457786007710971
-0.75,1.25,0.10223110665521212,0.09968101682678954,-0.08258455619802635
-0.5,1.25,0.06921548695903978,0.15524035628341767,-0.2631288263394265
-0.25,1.25,0.024610928513503286,0.19104586885114033,-0.43876019393602617
0.0,1.25,-0.026307447466530375,0.20512045167669504,-0.5940269620152576
0.25,1.25,-0.07794929732484424,0.19667651458993557,-0.7160118908022785
0.5,1.25,-0.12464570476149817,0.16571969262501052,-0.7943632724279793
0.75,1.25,-0.1608091436373495,0.11277113522577031,-0.8213279909335843
1.0,1.25,-0.18103127237438332,0.03862100990189038,-0.7915360158719578
1.25,1.25,-0.18011964858829468,-0.05593546676751149,-0.7012391785878956
1.5,1.25,-0.15306353899062758,-0.17049799150357792,-0.5464922892958691
1.75,1.25,-0.09487065283650573,-0.30612707798125516,-0.3192880711930514
2.0,1.25,0.0,-0.3794826113460229,-0.0
-2.0,1.5,0.0,0.032781545240720036,-0.0
-1.75,1.5,-0.008195386310180009,-0.03688852011151432,0.1817851766698343
-1.5,1.5,0.01844426005575716,-0.12211877324391007,0.24067531610334394
-1.25,1.5,0.05286400031177503,-0.12793236984808815,0.229364483882377
-1.0,1.5,0.08241044497980124,-0.09792493020790835,0.17052620426322657
-0.75,1.5,0.1018264654157292,-0.05434745812193997,0.07875131539468957
-0.5,1.5,0.10958417404077123,-0.008603901638144035,-0.033453258826312615
-0.25,1.5,0.10612841623480122,0.03305236363186059,-0.15420593722025175
0.0,1.5,0.09305799222484093,0.06677942374677992,-0.272102491297487
0.25,1.5,0.07273870436141126,0.0899081752017618,-0.37643201085321926
0.5,1.5,0.04810390462396003,0.1004289090002892,-0.4574512281641838
0.75,1.5,0.022524249861266662,0.09685408403012788,-0.5065845444806601
1.0,1.5,-0.0003231373911039039,0.07837094113344979,-0.5164402372726918
1.25,1.5,-0.016661220705458234,0.04542173273270212,-0.4804633157563615
1.5,1.5,-0.023034003757454964,0.0011109929997067045,-0.3917721808838279
1.75,1.5,-0.017216717205311587,-0.04606800751490993,-0.23978915971001824
2.0,1.5,0.0,-0.06886686882124635,-0.0
-2.0,1.75,0.0,0.15783179674776004,-0.0
-1.75,1.75,-0.03945794918694001,0.05479839754737128,-0.016390772620360018
-1.5,1.75,-0.02739919877368564,-0.08222901332809965,0.03688852011151432
-1.25,1.75,0.0016565574771098101,-0.1223841840290138,0.10572800062355006
-1.0,1.75,0.03379289324082126,-0.12239778296151504,0.16482088995960248
-0.75,1.75,0.06285544895786734,-0.10429844626274966,0.2036529308314584
-0.5,1.75,0.08594211637219609,-0.07771689633152365,0.21916834808154245
-0.25,1.75,0.10171389712362916,-0.047603363620034034,0.21225683246960245
0.0,1.75,0.10974379818221311,-0.017105621956272465,0.18611598444968186
0.25,1.75,0.11026670810176539,0.01132777772323873,0.14547740872282253
0.5,1.75,0.10407990932059374,0.035567158997569626,0.09620780924792006
0.75,1.75,0.09248312860298058,0.05378212611726227,0.045048499722533324
1.0,1.75,0.07718884626196261,0.06474223862618902,-0.0006462747822078078
1.25,1.75,0.06011200928988607,0.06873258962135248,-0.03332244141091647
1.5,1.75,0.04282255145128637,0.07017616454276535,-0.04606800751490993
1.75,1.75,0.02502392701850339,0.08564510290257274,-0.03443343441062317
2.0,1.75,0.0,0.10009570807401356,-0.0
-2.0,2.0,0.0,-0.0,-0.0
-1.75,2.0,0.0,-0.0,-0.15783179674776004
-1.5,2.0,0.0,-0.0,-0.10959679509474256
-1.25,2.0,0.0,-0.0,0.0066262299084392405
-1.0,2.0,0.0,-0.0,0.13517157296328505
-0.75,2.0,0.0,-0.0,0.25142179583146934
-0.5,2.0,0.0,-0.0,0.34376846548878437
-0.25,2.0,0.0,-0.0,0.40685558849451664
0.0,2.0,0.0,-0.0,0.43897519272885244
0.25,2.0,0.0,-0.0,0.44106683240706157
0.5,2.0,0.0,-0.0,0.416319637282375
0.75,2.0,0.0,-0.0,0.3699325144119223
1.0,2.0,0.0,-0.0,0.30875538504785044
1.25,2.0,0.0,-0.0,0.24044803715954427
1.5,2.0,0.0,-0.0,0.17129020580514548
1.75,2.0,0.0,-0.0,0.10009570807401356
2.0,2.0,0.0,-0.0,-0.0
